0.0000,0.0000
0.0002,0.2500
0.0043,0.5000
0.0441,0.7500
0.1912,0.9000
0.1955,0.9020
0.2000,0.9040
0.2047,0.9061
0.2094,0.9081
0.2143,0.9101
0.2194,0.9121
0.2246,0.9141
0.2299,0.9162
0.2355,0.9182
0.2412,0.9202
0.2471,0.9222
0.2532,0.9242
0.2595,0.9263
0.2661,0.9283
0.2728,0.9303
0.2798,0.9323
0.2871,0.9343
0.2946,0.9364
0.3024,0.9384
0.3104,0.9404
0.3189,0.9424
0.3276,0.9444
0.3367,0.9465
0.3462,0.9485
0.3560,0.9505
0.3663,0.9525
0.3771,0.9546
0.3883,0.9566
0.4001,0.9586
0.4125,0.9606
0.4255,0.9626
0.4391,0.9647
0.4535,0.9667
0.4687,0.9687
0.4848,0.9707
0.5018,0.9727
0.5199,0.9748
0.5393,0.9768
0.5600,0.9788
0.5823,0.9808
0.6063,0.9828
0.6325,0.9849
0.6611,0.9869
0.6927,0.9889
0.7280,0.9909
0.7681,0.9929
0.8147,0.9950
0.8711,0.9970
0.9456,0.9990
0.9698,0.9995
1.0000,1.0000
